Designator,Mid X,Mid Y,Rotation,Layer
C1,131.0,-71.8,0.0,top
C10,131.1,-74.5,0.0,top
C11,127.9,-92.4,90.0,top
C12,152.4,-74.3,90.0,top
C2,159.4,-89.3,90.0,top
C3,160.9,-83.7,0.0,top
C4,127.9,-99.9,0.0,top
C5,150.0,-80.5,180.0,top
C6,160.9,-79.6,180.0,top
C7,163.0,-102.1,0.0,top
C8,166.4,-73.5,90.0,top
C9,135.9,-77.3,180.0,top
J1,131.174955,-87.700013,270.0,top
J2,165.374955,-87.700013,270.0,top
J3,165.05,-104.8,270.0,bottom
J4,148.095054,-44.284065,180.0,top
LED1,143.0,-53.999873,0.0,top
LED2,152.3,-53.9,0.0,bottom
MIC1,129.0,-105.4,0.0,top
Q1,150.5,-68.15,0.0,top
Q2,150.5,-64.25,0.0,top
Q3,154.8125,-63.25,0.0,top
Q4,129.2,-47.1,180.0,top
Q5,129.4,-50.6,180.0,top
Q6,129.4,-54.2,180.0,top
R1,146.75,-67.75,180.0,top
R10,136.2,-55.7,0.0,top
R11,134.2,-58.9,180.0,top
R12,128.6,-57.2,0.0,top
R13,146.75,-64.75,180.0,top
R14,147.9,-71.4,0.0,top
R15,146.75,-63.25,180.0,top
R16,128.475,-63.425,0.0,top
R17,128.425,-61.675,0.0,top
R18,128.425,-59.925,0.0,top
R19,150.0,-74.3,90.0,top
R2,146.75,-69.25,180.0,top
R20,160.9,-81.2,180.0,top
R21,166.1,-102.1,0.0,top
R22,165.675,-66.0,0.0,top
R23,158.825,-63.5,180.0,top
R24,147.49,-74.3,270.0,top
R25,155.7,-98.4,0.0,top
R26,160.9,-85.3,180.0,top
R27,128.1,-95.9,90.0,top
R28,127.9,-98.2,0.0,top
R29,127.6,-101.6,0.0,top
R3,146.75,-66.25,180.0,top
R30,139.7,-74.1,0.0,top
R31,127.5,-68.7,0.0,top
R32,131.2,-101.8,180.0,top
R33,157.8,-101.0,180.0,top
R34,130.9,-98.9,180.0,top
R35,159.2,-49.8,180.0,top
R36,161.1,-53.4,180.0,top
R4,151.925,-71.4,180.0,top
R5,155.6,-59.3,90.0,top
R6,155.025,-67.2,180.0,top
R7,132.8,-48.0,0.0,top
R8,136.0,-50.3,0.0,top
R9,135.3,-52.6,0.0,top
SW1,158.7,-107.4,0.0,top
T1,134.3,-67.9,180.0,top
T2,139.3,-82.1,180.0,top
U10,157.749568,-61.005359,180.0,top
U3,144.621266,-98.943541,180.0,top
U4,159.825394,-95.1,270.0,top
U5,164.9,-99.5,0.0,top
U6,158.675006,-70.035858,0.0,top
U8,163.91176,-75.885852,0.0,top
U9,161.901042,-63.498133,0.0,top
USB1,165.49144,-49.824841,90.0,top
